Dataset,Model Variant,Fault Name,Rank,Variable,Score
Healthcare (ECG),Polynomial degree 3,Attack_8,2,V6,1.680133
Healthcare (ECG),Polynomial degree 3,Attack_8,3,V3,1.507665
Healthcare (ECG),Polynomial degree 3,Attack_8,4,V5,1.493706
Healthcare (ECG),Polynomial degree 3,Attack_8,5,AVL,1.437941
Healthcare (ECG),Polynomial degree 3,Attack_8,6,I,1.222893
Healthcare (ECG),Polynomial degree 3,Attack_8,7,III,1.182167
Healthcare (ECG),Polynomial degree 3,Attack_8,8,V2,1.128265
Healthcare (ECG),Polynomial degree 3,Attack_8,9,V1,1.110715
Healthcare (ECG),Polynomial degree 3,Attack_8,10,AVR,1.041493
Healthcare (ECG),Polynomial degree 3,Attack_8,11,AVF,1.034767
Healthcare (ECG),Polynomial degree 3,Attack_8,12,II,0.856492
Healthcare (ECG),Polynomial degree 3,Attack_9,1,V3,2.478058
Healthcare (ECG),Polynomial degree 3,Attack_9,2,V2,2.085995
Healthcare (ECG),Polynomial degree 3,Attack_9,3,III,1.728847
Healthcare (ECG),Polynomial degree 3,Attack_9,4,AVF,1.400017
Healthcare (ECG),Polynomial degree 3,Attack_9,5,AVR,1.343345
Healthcare (ECG),Polynomial degree 3,Attack_9,6,V4,1.259775
Healthcare (ECG),Polynomial degree 3,Attack_9,7,II,1.239445
Healthcare (ECG),Polynomial degree 3,Attack_9,8,V6,1.134868
Healthcare (ECG),Polynomial degree 3,Attack_9,9,I,0.952369
Healthcare (ECG),Polynomial degree 3,Attack_9,10,V5,0.805187
Healthcare (ECG),Polynomial degree 3,Attack_9,11,V1,0.631303
Healthcare (ECG),Polynomial degree 3,Attack_9,12,AVL,0.572119
Healthcare (ECG),Polynomial degree 3,Attack_10,1,V1,1.806805
Healthcare (ECG),Polynomial degree 3,Attack_10,2,AVF,1.561847
Healthcare (ECG),Polynomial degree 3,Attack_10,3,V2,1.181799
Healthcare (ECG),Polynomial degree 3,Attack_10,4,III,1.116273
Healthcare (ECG),Polynomial degree 3,Attack_10,5,V5,1.107586
Healthcare (ECG),Polynomial degree 3,Attack_10,6,II,1.053460
Healthcare (ECG),Polynomial degree 3,Attack_10,7,V3,0.975222
Healthcare (ECG),Polynomial degree 3,Attack_10,8,AVR,0.950251
Healthcare (ECG),Polynomial degree 3,Attack_10,9,AVL,0.890580
Healthcare (ECG),Polynomial degree 3,Attack_10,10,V4,0.811333
Healthcare (ECG),Polynomial degree 3,Attack_10,11,V6,0.764007
Healthcare (ECG),Polynomial degree 3,Attack_10,12,I,0.756112
Healthcare (ECG),Polynomial degree 3,Attack_11,1,AVR,1.203575
Healthcare (ECG),Polynomial degree 3,Attack_11,2,V3,1.122912
Healthcare (ECG),Polynomial degree 3,Attack_11,3,V2,1.109567
Healthcare (ECG),Polynomial degree 3,Attack_11,4,AVL,1.084130
Healthcare (ECG),Polynomial degree 3,Attack_11,5,II,1.035051
Healthcare (ECG),Polynomial degree 3,Attack_11,6,I,1.009185
Healthcare (ECG),Polynomial degree 3,Attack_11,7,V5,0.971685
Healthcare (ECG),Polynomial degree 3,Attack_11,8,AVF,0.913088
Healthcare (ECG),Polynomial degree 3,Attack_11,9,V4,0.871110
Healthcare (ECG),Polynomial degree 3,Attack_11,10,III,0.859192
Healthcare (ECG),Polynomial degree 3,Attack_11,11,V6,0.855902
Healthcare (ECG),Polynomial degree 3,Attack_11,12,V1,0.753583
Healthcare (ECG),Polynomial degree 3,Attack_12,1,V5,1.445272
Healthcare (ECG),Polynomial degree 3,Attack_12,2,V6,1.444130
Healthcare (ECG),Polynomial degree 3,Attack_12,3,AVL,1.326870
Healthcare (ECG),Polynomial degree 3,Attack_12,4,V3,1.301972
Healthcare (ECG),Polynomial degree 3,Attack_12,5,I,1.244073
Healthcare (ECG),Polynomial degree 3,Attack_12,6,V4,1.118823
Healthcare (ECG),Polynomial degree 3,Attack_12,7,AVF,1.088565
Healthcare (ECG),Polynomial degree 3,Attack_12,8,AVR,1.087428
Healthcare (ECG),Polynomial degree 3,Attack_12,9,III,0.997168
Healthcare (ECG),Polynomial degree 3,Attack_12,10,V2,0.941907
