Dataset,Model Variant,Fault Name,Rank,Variable,Score
Healthcare (ECG),Linear / Ridge,Attack_18,9,III,0.722002
Healthcare (ECG),Linear / Ridge,Attack_18,10,V3,0.628924
Healthcare (ECG),Linear / Ridge,Attack_18,11,V2,0.584983
Healthcare (ECG),Linear / Ridge,Attack_18,12,V1,0.464080
Healthcare (ECG),Linear / Ridge,Attack_19,1,AVL,1.801647
Healthcare (ECG),Linear / Ridge,Attack_19,2,I,1.496537
Healthcare (ECG),Linear / Ridge,Attack_19,3,III,1.231489
Healthcare (ECG),Linear / Ridge,Attack_19,4,V6,1.216987
Healthcare (ECG),Linear / Ridge,Attack_19,5,V5,1.161649
Healthcare (ECG),Linear / Ridge,Attack_19,6,V1,0.946919
Healthcare (ECG),Linear / Ridge,Attack_19,7,AVR,0.894708
Healthcare (ECG),Linear / Ridge,Attack_19,8,V3,0.869216
Healthcare (ECG),Linear / Ridge,Attack_19,9,V4,0.817084
Healthcare (ECG),Linear / Ridge,Attack_19,10,AVF,0.718067
Healthcare (ECG),Linear / Ridge,Attack_19,11,V2,0.611266
Healthcare (ECG),Linear / Ridge,Attack_19,12,II,0.552257
Healthcare (ECG),Linear / Ridge,Attack_20,1,V3,2.219939
Healthcare (ECG),Linear / Ridge,Attack_20,2,V2,1.698087
Healthcare (ECG),Linear / Ridge,Attack_20,3,V4,1.674529
Healthcare (ECG),Linear / Ridge,Attack_20,4,V5,1.416812
Healthcare (ECG),Linear / Ridge,Attack_20,5,V6,0.803421
Healthcare (ECG),Linear / Ridge,Attack_20,6,I,0.508750
Healthcare (ECG),Linear / Ridge,Attack_20,7,V1,0.484023
Healthcare (ECG),Linear / Ridge,Attack_20,8,AVL,0.462030
Healthcare (ECG),Linear / Ridge,Attack_20,9,AVR,0.429139
Healthcare (ECG),Linear / Ridge,Attack_20,10,II,0.426933
Healthcare (ECG),Linear / Ridge,Attack_20,11,III,0.424358
Healthcare (ECG),Linear / Ridge,Attack_20,12,AVF,0.353717
Healthcare (ECG),Polynomial degree 3,Attack_1,1,AVL,2.092317
Healthcare (ECG),Polynomial degree 3,Attack_1,2,I,1.686547
Healthcare (ECG),Polynomial degree 3,Attack_1,3,V6,1.593484
Healthcare (ECG),Polynomial degree 3,Attack_1,4,III,1.552560
Healthcare (ECG),Polynomial degree 3,Attack_1,5,AVF,1.246938
Healthcare (ECG),Polynomial degree 3,Attack_1,6,AVR,1.130973
Healthcare (ECG),Polynomial degree 3,Attack_1,7,V5,1.027913
Healthcare (ECG),Polynomial degree 3,Attack_1,8,V4,0.885771
Healthcare (ECG),Polynomial degree 3,Attack_1,9,V1,0.880637
Healthcare (ECG),Polynomial degree 3,Attack_1,10,V2,0.873527
Healthcare (ECG),Polynomial degree 3,Attack_1,11,II,0.850817
Healthcare (ECG),Polynomial degree 3,Attack_1,12,V3,0.684164
Healthcare (ECG),Polynomial degree 3,Attack_2,1,V4,2.591554
Healthcare (ECG),Polynomial degree 3,Attack_2,2,II,2.507913
Healthcare (ECG),Polynomial degree 3,Attack_2,3,AVR,2.433570
Healthcare (ECG),Polynomial degree 3,Attack_2,4,AVF,2.289755
Healthcare (ECG),Polynomial degree 3,Attack_2,5,V5,2.097356
Healthcare (ECG),Polynomial degree 3,Attack_2,6,V6,1.995295
Healthcare (ECG),Polynomial degree 3,Attack_2,7,III,1.677031
Healthcare (ECG),Polynomial degree 3,Attack_2,8,I,1.541012
Healthcare (ECG),Polynomial degree 3,Attack_2,9,V3,1.317883
Healthcare (ECG),Polynomial degree 3,Attack_2,10,V1,1.215008
Healthcare (ECG),Polynomial degree 3,Attack_2,11,AVL,1.034092
Healthcare (ECG),Polynomial degree 3,Attack_2,12,V2,1.015755
Healthcare (ECG),Polynomial degree 3,Attack_3,1,V6,1.876902
Healthcare (ECG),Polynomial degree 3,Attack_3,2,III,1.749179
Healthcare (ECG),Polynomial degree 3,Attack_3,3,V2,1.744246
Healthcare (ECG),Polynomial degree 3,Attack_3,4,AVF,1.708870
Healthcare (ECG),Polynomial degree 3,Attack_3,5,V3,1.633925
Healthcare (ECG),Polynomial degree 3,Attack_3,6,AVL,1.517992
Healthcare (ECG),Polynomial degree 3,Attack_3,7,II,1.441412
Healthcare (ECG),Polynomial degree 3,Attack_3,8,I,1.257484
Healthcare (ECG),Polynomial degree 3,Attack_3,9,AVR,1.235905
Healthcare (ECG),Polynomial degree 3,Attack_3,10,V4,1.126630
Healthcare (ECG),Polynomial degree 3,Attack_3,11,V5,1.051002
Healthcare (ECG),Polynomial degree 3,Attack_3,12,V1,0.746648
Healthcare (ECG),Polynomial degree 3,Attack_4,1,I,2.965938
Healthcare (ECG),Polynomial degree 3,Attack_4,2,AVF,2.475039
Healthcare (ECG),Polynomial degree 3,Attack_4,3,III,2.192234
Healthcare (ECG),Polynomial degree 3,Attack_4,4,II,2.176134
Healthcare (ECG),Polynomial degree 3,Attack_4,5,V6,2.076520
Healthcare (ECG),Polynomial degree 3,Attack_4,6,AVR,1.949492
Healthcare (ECG),Polynomial degree 3,Attack_4,7,AVL,1.777358
Healthcare (ECG),Polynomial degree 3,Attack_4,8,V2,1.729149
Healthcare (ECG),Polynomial degree 3,Attack_4,9,V3,1.632580
Healthcare (ECG),Polynomial degree 3,Attack_4,10,V4,1.443036
Healthcare (ECG),Polynomial degree 3,Attack_4,11,V5,1.389245
Healthcare (ECG),Polynomial degree 3,Attack_4,12,V1,0.664576
Healthcare (ECG),Polynomial degree 3,Attack_5,1,V2,1.078817
Healthcare (ECG),Polynomial degree 3,Attack_5,2,AVL,0.961773
Healthcare (ECG),Polynomial degree 3,Attack_5,3,V1,0.886924
Healthcare (ECG),Polynomial degree 3,Attack_5,4,III,0.872987
Healthcare (ECG),Polynomial degree 3,Attack_5,5,V5,0.844764
Healthcare (ECG),Polynomial degree 3,Attack_5,6,II,0.787966
Healthcare (ECG),Polynomial degree 3,Attack_5,7,V4,0.780750
Healthcare (ECG),Polynomial degree 3,Attack_5,8,I,0.773607
Healthcare (ECG),Polynomial degree 3,Attack_5,9,V3,0.765716
Healthcare (ECG),Polynomial degree 3,Attack_5,10,AVF,0.727016
Healthcare (ECG),Polynomial degree 3,Attack_5,11,AVR,0.716471
Healthcare (ECG),Polynomial degree 3,Attack_5,12,V6,0.696828
Healthcare (ECG),Polynomial degree 3,Attack_6,1,AVF,2.364804
Healthcare (ECG),Polynomial degree 3,Attack_6,2,V6,2.296734
Healthcare (ECG),Polynomial degree 3,Attack_6,3,III,2.106027
Healthcare (ECG),Polynomial degree 3,Attack_6,4,II,1.999171
Healthcare (ECG),Polynomial degree 3,Attack_6,5,AVR,1.641757
Healthcare (ECG),Polynomial degree 3,Attack_6,6,AVL,1.623600
Healthcare (ECG),Polynomial degree 3,Attack_6,7,I,1.529904
Healthcare (ECG),Polynomial degree 3,Attack_6,8,V3,1.264444
Healthcare (ECG),Polynomial degree 3,Attack_6,9,V5,1.180055
Healthcare (ECG),Polynomial degree 3,Attack_6,10,V2,1.179406
Healthcare (ECG),Polynomial degree 3,Attack_6,11,V4,1.137022
Healthcare (ECG),Polynomial degree 3,Attack_6,12,V1,0.637906
Healthcare (ECG),Polynomial degree 3,Attack_7,1,I,1.486372
Healthcare (ECG),Polynomial degree 3,Attack_7,2,AVR,1.477585
Healthcare (ECG),Polynomial degree 3,Attack_7,3,II,1.226353
Healthcare (ECG),Polynomial degree 3,Attack_7,4,AVL,1.189506
Healthcare (ECG),Polynomial degree 3,Attack_7,5,V2,1.005603
Healthcare (ECG),Polynomial degree 3,Attack_7,6,V3,0.982259
Healthcare (ECG),Polynomial degree 3,Attack_7,7,V5,0.828849
Healthcare (ECG),Polynomial degree 3,Attack_7,8,AVF,0.824751
Healthcare (ECG),Polynomial degree 3,Attack_7,9,V6,0.755293
Healthcare (ECG),Polynomial degree 3,Attack_7,10,V4,0.719939
Healthcare (ECG),Polynomial degree 3,Attack_7,11,III,0.621076
Healthcare (ECG),Polynomial degree 3,Attack_7,12,V1,0.535096
Healthcare (ECG),Polynomial degree 3,Attack_8,1,AVL,2.105331
